id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kategori_anak,jenis_kelamin,jumlah_anak,satuan,tahun
138,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
139,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,ANAK YATIM,PEREMPUAN,3,ORANG,2021
140,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,ANAK YATIM,LAKI-LAKI,0,ORANG,2021
141,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,ANAK PIATU,LAKI-LAKI,1,ORANG,2021
142,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,ANAK PIATU,PEREMPUAN,1,ORANG,2021
143,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
144,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
145,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,ANAK YATIM,PEREMPUAN,16,ORANG,2021
146,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,ANAK YATIM,LAKI-LAKI,12,ORANG,2021
147,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,ANAK PIATU,LAKI-LAKI,2,ORANG,2021
148,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,ANAK PIATU,PEREMPUAN,8,ORANG,2021
149,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,ANAK YATIM PIATU,LAKI-LAKI,2,ORANG,2021
150,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,ANAK YATIM PIATU,PEREMPUAN,4,ORANG,2021
151,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,ANAK YATIM,PEREMPUAN,7,ORANG,2021
152,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,ANAK YATIM,LAKI-LAKI,10,ORANG,2021
153,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,ANAK PIATU,LAKI-LAKI,3,ORANG,2021
154,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,ANAK PIATU,PEREMPUAN,0,ORANG,2021
